iso3,country_name,city,year,no2_pred
AUT,Austria,Brixlegg/AUT,2013,13.265675000000021
AUT,Austria,Himberg/AUT,2013,21.48943750000007
AUT,Austria,Mistelbach/AUT,2013,12.058670000000005
AUT,Austria,Sankt Andra/AUT,2013,22.03711000000005
AUT,Austria,Ziersdorf/AUT,2013,13.279975000000018
BEL,Belgium,Menen/BEL,2013,25.078069999999915
BGR,Bulgaria,Asenovgrad/BGR,2013,27.173835000000036
BGR,Bulgaria,Dobrich/BGR,2013,18.593547500000003
BGR,Bulgaria,Dobrich/BGR,2014,17.383630000000018
BGR,Bulgaria,Dobrich/BGR,2015,17.440725000000043
BGR,Bulgaria,Dobrich/BGR,2016,17.79200500000002
BGR,Bulgaria,Dobrich/BGR,2017,17.970407500000025
BGR,Bulgaria,Dobrich/BGR,2018,17.809575000000024
BGR,Bulgaria,Dobrich/BGR,2019,17.40416500000003
BGR,Bulgaria,Dobrich/BGR,2020,15.886142499999991
BGR,Bulgaria,Dobrich/BGR,2021,15.611622500000017
BGR,Bulgaria,Dobrich/BGR,2022,16.24406499999998
BGR,Bulgaria,Haskovo/BGR,2013,19.02405250000006
BGR,Bulgaria,Haskovo/BGR,2014,19.44325250000007
BGR,Bulgaria,Haskovo/BGR,2015,18.716002500000023
BGR,Bulgaria,Haskovo/BGR,2017,19.48284500000004
BGR,Bulgaria,Haskovo/BGR,2018,18.445310000000003
BGR,Bulgaria,Haskovo/BGR,2019,18.45746000000005
BGR,Bulgaria,Haskovo/BGR,2020,16.285154999999996
BGR,Bulgaria,Haskovo/BGR,2021,16.28735
BGR,Bulgaria,Haskovo/BGR,2022,25.8155525
BGR,Bulgaria,Kardzhali/BGR,2013,18.63374499999999
BGR,Bulgaria,Lovech/BGR,2013,18.897732499999975
BGR,Bulgaria,Montana/BGR,2013,20.399689999999975
BGR,Bulgaria,Pazardzhik/BGR,2013,19.260227500000045
BGR,Bulgaria,Pazardzhik/BGR,2014,19.26677750000005
BGR,Bulgaria,Pazardzhik/BGR,2015,18.059957500000007
BGR,Bulgaria,Pazardzhik/BGR,2017,18.569412500000045
BGR,Bulgaria,Pazardzhik/BGR,2018,18.469075000000018
BGR,Bulgaria,Pazardzhik/BGR,2019,18.169737500000043
BGR,Bulgaria,Pazardzhik/BGR,2020,16.46722000000001
BGR,Bulgaria,Pazardzhik/BGR,2021,16.345565000000008
BGR,Bulgaria,Pazardzhik/BGR,2022,16.274174999999993
BGR,Bulgaria,Pernik/BGR,2016,22.599789999999988
BGR,Bulgaria,Pirdop/BGR,2013,18.013217499999996
BGR,Bulgaria,Sliven/BGR,2013,22.836892500000005
BGR,Bulgaria,Sliven/BGR,2014,22.082772500000004
BGR,Bulgaria,Sliven/BGR,2015,21.725245000000008
BGR,Bulgaria,Sliven/BGR,2016,17.723942500000014
BGR,Bulgaria,Sliven/BGR,2017,18.33983250000005
BGR,Bulgaria,Sliven/BGR,2018,17.71225250000002
BGR,Bulgaria,Sliven/BGR,2019,17.240665000000018
BGR,Bulgaria,Sliven/BGR,2020,10.81230750000004
BGR,Bulgaria,Sliven/BGR,2021,10.366525000000038
BGR,Bulgaria,Sliven/BGR,2022,10.824277500000019
BGR,Bulgaria,Smolyan/BGR,2013,16.61497499999997
BGR,Bulgaria,Veliko Tarnovo/BGR,2013,21.957642500000023
BGR,Bulgaria,Veliko Tarnovo/BGR,2014,21.140997500000015
BGR,Bulgaria,Veliko Tarnovo/BGR,2015,20.29602499999999
BGR,Bulgaria,Veliko Tarnovo/BGR,2016,22.20563000000001
BGR,Bulgaria,Veliko Tarnovo/BGR,2017,20.386050000000033
BGR,Bulgaria,Veliko Tarnovo/BGR,2018,19.369587500000012
BGR,Bulgaria,Veliko Tarnovo/BGR,2019,18.733897499999998
BGR,Bulgaria,Veliko Tarnovo/BGR,2020,18.001329999999992
BGR,Bulgaria,Veliko Tarnovo/BGR,2021,18.2230125
BGR,Bulgaria,Veliko Tarnovo/BGR,2022,19.409447499999978
BGR,Bulgaria,Vidin/BGR,2013,20.4074475
BGR,Bulgaria,Vidin/BGR,2014,20.65576500000001
BGR,Bulgaria,Vidin/BGR,2015,20.595062499999997
BGR,Bulgaria,Vidin/BGR,2016,20.390735
BGR,Bulgaria,Vidin/BGR,2018,20.041909999999998
BGR,Bulgaria,Vidin/BGR,2019,17.53259500000001
BGR,Bulgaria,Vidin/BGR,2020,12.869472500000006
BGR,Bulgaria,Vidin/BGR,2021,12.385984999999996
BGR,Bulgaria,Vidin/BGR,2022,13.751122500000015
BGR,Bulgaria,Vidin/BGR,2017,19.366264999999977
BIH,Bosnia and Herzegovina,Sarajevo/BIH,2021,25.571577500000025
CAN,Canada,Auclair/CAN,2020,3.264713333333333
CAN,Canada,Aylesford/CAN,2020,6.519408333333335
CAN,Canada,Burns Lake/CAN,2020,10.825687500000004
CAN,Canada,Campbell River/CAN,2020,9.682917500000007
CAN,Canada,Charette/CAN,2020,6.976922500000005
CAN,Canada,Debolt/CAN,2020,5.625701666666666
CAN,Canada,Deschambault/CAN,2020,6.334185000000004
CAN,Canada,Dorset/CAN,2020,5.197371666666666
CAN,Canada,Evergreen Park/CAN,2020,6.387480833333334
CAN,Canada,Ferme Neuve/CAN,2020,4.737220000000001
CAN,Canada,Fort Chipewyan/CAN,2020,3.6325725
CAN,Canada,Golden/CAN,2020,9.958187499999998
CAN,Canada,Grand Forks/CAN,2020,9.146762499999989
CAN,Canada,Houston/CAN,2020,9.926667499999997
CAN,Canada,La Dore/CAN,2020,5.366694999999998
CAN,Canada,La Patrie/CAN,2020,4.181486666666665
CAN,Canada,Lac Edouard/CAN,2020,3.6331625
CAN,Canada,Notre Dame Du Rosaire/CAN,2020,2.4823350000000004
CAN,Canada,Petawawa/CAN,2020,5.1183716666666665
CAN,Canada,Port Alberni/CAN,2020,9.0551875
CAN,Canada,Powell River/CAN,2020,9.701265000000001
CAN,Canada,Rouyn Noranda/CAN,2020,10.354240000000004
CAN,Canada,Saguenay/CAN,2020,9.365167500000002
